alcoholPercentage,assortmentText,bottleText,categoryLevel1,categoryLevel2,categoryLevel3,country,customCategoryTitle,ethicalLabel,grapes,isClimateSmartPackaging,isCompletelyOutOfStock,isDiscontinued,isEthical,isKosher,isManufacturingCountry,isOrganic,isSustainableChoice,isTemporaryOutOfStock,originLevel1,originLevel2,packagingLevel1,price,producerName,productId,productNameBold,productNameThin,productNumber,productNumberShort,restrictedParcelQuantity,sugarContent,sugarContentGramPer100ml,supplierName,taste,tasteClockBitter,tasteClockBody,tasteClockCasque,tasteClockFruitacid,tasteClockGroupBitter,tasteClockGroupSmokiness,tasteClockRoughness,tasteClockSmokiness,tasteClockSweetness,tasteClocks,tasteSymbols,vintage,volume,volumeText,full_name
14.0,Fast sortiment,Flaska,Vin,Rött vin,Stramt & Nyanserat,Italien,"Rött vin, Stramt & Nyanserat",,['Nebbiolo'],False,False,False,False,False,False,False,False,False,Piemonte,Barolo,Glasflaska,349.0,G.D. Vajra,994108,Barolo Serralunga,Luigi Baudana,233001,2330,0,2,0.0,Morningstar Brands AB,"Nyanserad, kryddig smak med fatkaraktär, inslag av körsbär, nougat, nypon, kanel, sandelträ, hallon, svart te och bergamott.",0,9,8,10,,,11,0,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 11}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Lamm', 'Nöt', 'Vilt']",2019,750,750 ml,G.D. Vajra Barolo Serralunga Luigi Baudana 2019
14.0,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Spanien,"Rött vin, Kryddigt & Mustigt",,['Tempranillo'],False,False,False,False,False,False,False,False,False,Rioja,,Glasflaska,219.0,Baron de Ley,16065857,Baron de Ley,Gran Reserva,276801,2768,0,2,0.0,Enjoy Wine & Spirits AB,"Nyanserad, kryddig, utvecklad, balanserad smak med rostad fatkaraktär, inslag av mörka körsbär, kardemumma, choklad, fikon, dill, ceder och vanilj.",0,9,8,9,,,9,0,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 9}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Lamm', 'Nöt', 'Vilt']",2017,750,750 ml,Baron de Ley Baron de Ley Gran Reserva 2017
14.5,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Spanien,"Rött vin, Kryddigt & Mustigt",,"['Tempranillo', 'Garnacha']",False,False,False,False,False,False,False,False,False,Rioja,,Glasflaska,129.0,Baron de Ley,1825,Baron de Ley,Reserva,252501,2525,0,2,0.0,Enjoy Wine & Spirits AB,"Nyanserad, kryddig, utvecklad, balanserad smak med fatkaraktär, inslag av mörka körsbär, tobak, katrinplommon, mörk choklad, dill och vanilj. ",0,9,8,9,,,9,0,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 9}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Lamm', 'Nöt', 'Vilt']",2019,750,750 ml,Baron de Ley Baron de Ley Reserva 2019
13.5,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Frankrike,"Rött vin, Kryddigt & Mustigt",,['Syrah'],False,False,False,False,False,False,False,False,False,Rhonedalen,Ardèche,Glasflaska,99.0,Vignerons Ardèchois - UVICA,40360979,Basalte du Coiron,Syrah,2007801,20078,0,2,0.0,Vintedge AB,"Smakrikt, kryddigt vin med inslag av fat, björnbär, lagerblad, plommon, svartpeppar, ceder, lakrits och skogshallon.",0,8,4,9,,,8,0,0,"[{'key': 'TasteClockBody', 'value': 8}, {'key': 'TasteClockRoughness', 'value': 8}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Lamm', 'Nöt']",2022,750,750 ml,Vignerons Ardèchois - UVICA Basalte du Coiron Syrah 2022
14.5,Fast sortiment,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,Spanien,"Rött vin, Fruktigt & Smakrikt",,['Garnacha'],False,False,False,False,False,False,False,False,False,Katalonien,Terra Alta,Glasflaska,159.0,Contemporary Wines AB,28397397,Berså,Terra Alta Stig Lindberg,5804301,58043,0,2,0.0,The Wine and Spirits Collective Sweden AB,"Fruktig, något kryddig smak med inslag av fat, hallon, blåbär, lagerblad och jordgubbar.",0,6,4,9,,,6,0,0,"[{'key': 'TasteClockBody', 'value': 6}, {'key': 'TasteClockRoughness', 'value': 6}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Fläsk', 'Fågel', 'Grönsaker']",2022,750,750 ml,Contemporary Wines AB Berså Terra Alta Stig Lindberg 2022
13.5,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Italien,"Rött vin, Kryddigt & Mustigt",,['Rondinella'],False,False,False,False,False,False,False,False,False,Venetien,Valpolicella,Glasflaska,119.0,Cantina Valpolicella Negrar,20492857,Bevanti,Valpolicella Ripasso,7076901,70769,0,8,0.8,Carovin AB,"Kryddig smak med inslag av fat, mörka körsbär, salvia, plommon, choklad och vanilj.",0,8,4,9,,,8,0,0,"[{'key': 'TasteClockBody', 'value': 8}, {'key': 'TasteClockRoughness', 'value': 8}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Lamm', 'Nöt']",2021,750,750 ml,Cantina Valpolicella Negrar Bevanti Valpolicella Ripasso 2021
14.5,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,USA,"Rött vin, Kryddigt & Mustigt",,['Pinot noir'],False,False,False,False,False,False,False,False,False,Kalifornien,North Coast,Glasflaska,299.0,Black Stallion Estate Winery,9186911,Black Stallion,Los Carneros Pinot Noir,223501,2235,0,3,0.3,Ward Wines AB,"Nyanserad, kryddig smak med fatkaraktär, inslag av jordgubbar, nougat, skogshallon, kardemumma, choklad, kaffe, körsbär och vanilj.",0,6,8,9,,,5,0,0,"[{'key': 'TasteClockBody', 'value': 6}, {'key': 'TasteClockRoughness', 'value': 5}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Fläsk', 'Fågel', 'Lamm']",2021,750,750 ml,Black Stallion Estate Winery Black Stallion Los Carneros Pinot Noir 2021
14.5,Fast sortiment,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,USA,"Rött vin, Fruktigt & Smakrikt",,['Cabernet sauvignon'],False,False,False,False,False,False,False,False,False,Kalifornien,North Coast,Glasflaska,339.0,Black Stallion Estate Winery,975717,Black Stallion,Napa Valley Cabernet Sauvignon,620701,6207,0,2,0.0,Ward Wines AB,"Nyanserad, mycket fruktig smak med tydlig rostad fatkaraktär, inslag av svarta vinbär, plommon, ceder, mörk choklad, fikon, örter, kaffe och vanilj.",0,10,10,9,,,9,0,0,"[{'key': 'TasteClockBody', 'value': 10}, {'key': 'TasteClockRoughness', 'value': 9}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Lamm', 'Nöt', 'Vilt']",2020,750,750 ml,Black Stallion Estate Winery Black Stallion Napa Valley Cabernet Sauvignon 2020
13.5,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Italien,"Rött vin, Kryddigt & Mustigt",,"['Molinara', 'Corvina', 'Rondinella']",False,False,False,False,False,False,False,False,False,Venetien,Valpolicella,Glasflaska,139.0,Bolla,30148,Bolla Le Poiane,Ripasso,2232001,22320,0,2,0.0,Domaine Wines Sweden AB,"Nyanserad, kryddig smak med inslag av fat, mörka körsbär, sandelträ, pomerans, pinjenötter och choklad.",0,8,4,10,,,8,0,0,"[{'key': 'TasteClockBody', 'value': 8}, {'key': 'TasteClockRoughness', 'value': 8}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Lamm', 'Nöt']",2019,750,750 ml,Bolla Bolla Le Poiane Ripasso 2019
15.0,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Italien,"Rött vin, Kryddigt & Mustigt",,"['Corvinone', 'Rondinella', 'Corvina']",False,False,False,False,False,False,False,False,False,Venetien,Valpolicella,Glasflaska,289.0,Bolla,872511,Bolla Le Poiane,Amarone,7021501,70215,0,3,0.3,Ward Wines AB,"Nyanserad, kryddig smak med inslag av fat, mörka körsbär, kakao, kanel, russin, peppar, bergamott och salvia.",0,10,4,9,,,9,0,0,"[{'key': 'TasteClockBody', 'value': 10}, {'key': 'TasteClockRoughness', 'value': 9}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Nöt', 'Ost', 'Vilt']",2017,750,750 ml,Bolla Bolla Le Poiane Amarone 2017
