alcoholPercentage,assortmentText,grapes,packagingLevel1,sugarContentGramPer100ml,supplierName,tasteClockBody,tasteClockOakFlavor,tasteClockAcidity,tasteClockTannins,tasteClockSweetness,tasteClocks,tasteSymbols,vintage,volumeText,productNumber_Artnr,productNumberShort_Varunr,Name,Producer_Name,Product_Group_Details,Headline,Actual_Price,Country,Region,origin,productId_ArtId,Units_sold
,,,,,,,,,,,,,,,203701,2037,Vûlk Rubin Cabernet Sauvignon,Aratus,Red Wine,"Red Wines, Fruity & Flavorful",69.0,Bulgarian,Thracian lowlands,Thracian lowlands,24475993,1564.0
,,,,,,,,,,,,,,,7008201,70082,Mureda Sauvignon Blanc,Bodegas Mureda,White Wine,White Wines,69.0,Spain,Kastilien-La Mancha,VdlT Castilla,603408,377.0
11.0,available on order,[],lighter glass bottle,0.7,Domaine Wines Sweden AB,4.0,1.0,9.0,0.0,2.0,"[{'key': 'TasteClockSweetness', 'value': 2}, {'key': 'TasteClockBody', 'value': 4}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Fisk', 'Grönsaker', 'Sällskapsdryck']",,750 ml,5682501,56825,Disco Bubbles Brut,Domaine Wines Sweden AB,Sparkling Wine,"Sparkling Wines, Dry",69.0,EU,EU,EU,25754850,12697.0
8.5,regular in-store stock,"['Arinto', 'Trajadura', 'Azal', 'Loureiro']",lighter glass bottle,0.9,Nigab,3.0,1.0,9.0,0.0,2.0,"[{'key': 'TasteClockSweetness', 'value': 2}, {'key': 'TasteClockBody', 'value': 3}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Aperitif', 'Fisk', 'Grönsaker', 'Sällskapsdryck']",,750 ml,256601,2566,Gazela,Sogrape,White Wine,"White Wines, Fresh & Fruity",69.0,Portugal,Vinho Verde,Vinho Verde,217790,136666.0
,,,,,,,,,,,,,,,793801,7938,Darling Cellars Brut Rosé,Darling Cellars,Sparkling Wine,"Sparkling Wines, Rosé",69.0,South Africa,Western Cape,Darling,20129387,1480.0
,,,,,,,,,,,,,,,5622401,56224,De Bortoli Woodfired Shiraz,De Bortoli Wines Pty Ltd,Red Wine,Red Wines,69.0,Australia,Victoria,Heathcote,24701970,-1.0
,,,,,,,,,,,,,,,661001,6610,Astria Cabernet Sauvignon,Domaines Pierre Chavin,Red Wine,"Red Wines, Fruity & Flavorful",69.0,France,France,France,748506,874.0
,,,,,,,,,,,,,,,279201,2792,Altos d'Oliva Gran Reserva,La Vinicola de Gandesa,Red Wine,"Red Wines, Spicy & Robust",69.0,Spain,Katalonien,Katalonien,2878750,1712.0
,,,,,,,,,,,,,,,5546401,55464,Jean Biecher Pinot Gris Réserve,Jean Biecher,White Wine,"White Wines, Grapey & Floral",69.0,France,Alsace,Alsace,24686825,712.0
12.0,regular in-store stock,"['Famoso', 'Pinot bianco']",lighter glass bottle,0.6,Fields Wine Company AB,4.0,1.0,8.0,0.0,1.0,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 4}, {'key': 'TasteClockFruitacid', 'value': 8}]","['Fisk', 'Grönsaker', 'Sällskapsdryck']",2020.0,750 ml,5008001,50080,Casteloro Vino Bianco,Fields Wine Company AB,White Wine,"White Wines, Fresh & Fruity",69.0,Italian,Emilia-Romagna,Rubicone,24554703,7140.0
8.5,regular in-store stock,"['Riesling', 'Rivaner']",lighter glass bottle,3.7,Giertz Vinimport AB,4.0,1.0,9.0,0.0,6.0,"[{'key': 'TasteClockSweetness', 'value': 6}, {'key': 'TasteClockBody', 'value': 4}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Asiatiskt', 'Fisk', 'Grönsaker', 'Kryddstarkt']",2023.0,750 ml,626601,6266,Ecologica Berlina Organic,Ruppertsberger Weinkeller Hoheburg eG,White Wine,"White Wines, Grapey & Floral",69.0,Germany,Rhine,Rhine,369865,233786.0
,,,,,,,,,,,,,,,7610001,76100,Pol Rémy Brut,Pol Rémy,Sparkling Wine,"Sparkling Wines, Dry",69.0,France,France,France,969002,162617.0
,,,,,,,,,,,,,,,671801,6718,Rawson's Retreat Organic Series Cabernet Sauvignon Shiraz Merlot,Rawson's Retreat,Red Wine,Red Wines,69.0,Australia,Victoria,Victoria,976473,736.0
,,,,,,,,,,,,,,,5154801,51548,Amore Bianca Prosecco Rosé,Sundance Wines,Sparkling Wine,"Sparkling Wines, Rosé",69.0,Italian,Venetien,Prosecco,24591056,3923.0
,,,,,,,,,,,,,,,7712301,77123,Zupreme Cabernet Sauvignon,Brandpartners AB,Red Wine,"Red Wines, Fruity & Flavorful",69.0,USA,California,California,4104447,4308.0
,,,,,,,,,,,,,,,2280301,22803,il Nostro Grecanico,Nordic Sea Winery,White Wine,"White Wines, Fresh & Fruity",69.0,Italian,Sicilian,Sicilian,47166,56204.0
,,,,,,,,,,,,,,,3220501,32205,il Nostro Rosso Puglia,Nordic Sea Winery,Red Wine,"Red Wines, Fruity & Flavorful",69.0,Italian,Apulia,Apulia,34364,5.0
12.5,regular in-store stock,"['Sauvignon blanc', 'Sémillon']",lighter glass bottle,0.0,Brandpartners AB,4.0,1.0,10.0,0.0,1.0,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 4}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Buffémat', 'Fisk', 'Grönsaker', 'Skaldjur']",2020.0,750 ml,671001,6710,Domaine Boyar Ethno Sauvignon Blanc,Domaine Boyar,White Wine,"White Wines, Fresh & Fruity",69.0,Bulgarian,Thracian lowlands,Thracian lowlands,24446161,2276.0
,,,,,,,,,,,,,,,7640101,76401,Dão Casal Mor Vinho Branco,Caves Primavera,White Wine,White Wines,69.0,Portugal,Dão,Dão,24448550,152.0
